Po 35,Pompei 3,619
Po 36,Pompei 4,621
Po 37,Pompei 5,623
Po 38,Pompei 6,624
Po 39,Pompei 7,626
Po 40,Pompei 34,676
Po 41,Pompei 31,671
Po 42,Pompei 49,706
Po 43,Pompei 47,704
Po 44,Pompei 48,705
Po 45,Pompei 30,669
Po 46,Pompei 35,679
Po 47,Pompei 53,712
Po 48,Pompei 52,711
Po 49,Pompei 54,714
Po 50,Pompei 33,675
Po 51,Teanum Sidicinum 24,558
Po 52,Pompei 55,716
Po 53,Pompei 45,699
Po 54,Pompei 1,615
Po 55,Pompei 38,685
Po 56,Pompei 50,707
Po 57,Pompei 51,709
Po 58,Pompei 40,688
Po 59,Pompei 63,724
Po 60,Pompei 61,722
Po 61,Pompei 62,723
Po 62,Pompei 60,721
Po 63,Pompei 67,728
Po 64,Pompei 144,836
Po 65,Pompei 65,726
Po 66,Pompei 46,702
Po 67,Pompei 147,839
Po 68,Pompei 146,838
Po 69,Pompei 58,719
Po 70,Pompei 59,720
Po 71,Pompei 139,830
Po 72,Pompei 32,673
Po 73,Pompei 141,833
Po 74,"Latin: see M.11. Crawford, “Latin or Greek or Messapic not Italic’ (forthcoming)",
Po 75,"= Ve 67 = M. della Corte, NSc 1929, pp. 470-6, ‘Pompei. Iscrizioni sporadiche’, at pp. 473, fig. 6, 476; R. Antonini, SE 45 (1977) p. 338; the ‘inscription’ consists of random scratches 0.27 m above the pavement (!)",
Po 76,Pompei 64,725
Po 77,Pompei 68,729
Po 78,See Pompei 44,695
Po 79,Pompei 72,733
Po 80,Pompei 28,665
Po 81,Pompei 28,665
Po 82,Pompei 28,665
Po 83,Pompei 28,665
Po 84,Pompei 28,665
Po 85,Pompei 140,832
Po 103,Pompei 142,834
Po 86,Pompei 95,760
Po 87,Pompei 91,756
Po 88,Pompei 86,749
Po 89,Pompei 29,668
Po 90,Pompei 90,755
Po 91,Pompei 10,633
Po 92,Pompei 82,745
Po 93,Pompei 78,739
Po 94,Pompei 79,741
Po 102,Pompei 79,741
Po 95,Pompei 81,744
Po 96,Pompei 80,743
Po 97,Pompei 76,737
Po 98,Pompei 77,738
Po 99,Pompei 75,736
Po 100,Pompei 75,736
Po 101,Pompei 74,735
tPo 1,Pompei 108,783
tPo 2,Pompei 126,812
tPo 3,Pompei 136,826
tPo 4,Pompei 131,821
tPo 5,Pompei 96,762
tPo 6,Pompei 120,804
tPo 23,Pompei 120,804
tPo 7-9,Pompei 101,770
tPo 10,Pompei 117,798
tPo 11,Pompei 117,798
tPo 12,Pompei 137,827
tPo 13,Pompei 124,809
tPo 14,Pompei 135,825
tPo 15,Pompei 127,814
tPo 16,Pompei 115,796
tPo 17,Pompei 114,793
tPo 18,Pompei 134,824
tPo 19,Pompei 99,766
tPo 20,Pompei 125,810
tPo 21,Pompei 119,803
tPo 22,Pompei 109,785
tPo 24,Pompei 120,804
tPo 25,Pompei 121,805
tPo 26 (part),Pompei 123,808
tPo 27,Pompei 122,807
tPo 37,Pompei 122,807
tPo 28,Pompei 100,768
tPo 29,Pompei 110,786
tPo 41,Pompei 110,786
tPo 30,Pompei 116,797
tPo 31,Pompei 94,759
tPo 32,Pompei 128,815
tPo 33,Pompei 128,815
tPo 34,Pompei 128,815
tPo 35,Pompei 118,801
tPo 36,Pompei 129,818
tPo 38,Pompei 98,765
tPo 39,Pompei 113,792
tPo 40,Pompei 107,782
tPo 42,Teruentum 1,1147
tPo 43,Pompei 105,780
Cm 1,Abella 1,887
Cm 2,Surrentum 1,849
Cm 3,Abella 3,894
Cm 4,Cumae 2,491
Cm 5,Cumae 3,493
Cm 6,Nola 3,864
Cm 7,Nola 2,862
Cm 8,Abella 2,893
Cm 47,Nola 5,868
Cm 48,Nola 4,866
Cm 9,Cumae 4,495
Cm 10,Herculaneum 1,605
Cm 11,Cumae 5,498
Cm 12,Capua 31,437
Cm 13,Cumae 9,507
Cm 14,Cumae 8,504
Cm 15,Cumae 10,509
Cm 16,Surrentum 4,854
Cm 17,Cumae 7,502
Cm 18,Cumae 13,515
Cm 19,Cumae 14,517
Cm 20,Cumae 11,512
Cm 21,Cumae 12,513
Cm 22,Saticula 1,593
Cm 23,Saticula 5,599
Cm 24,Saticula 4,597
Cm 25,Saticula 3,596
Cm 26,Saticula 2,595
Cm 27,Saticula 6,600
Cm 28,Saticula 7,602
Cm 29,Saticula 8,603
Cm 30,Campania 2,376
Cm 31,Picentia 3,927
Cm 32,Cumae 16,520
Cm 33,Cumae 15,518
Cm 34,Caudium 3,943
Cm 35,Nuceria Alfaterna 5,912
Cm 36,Nuceria Alfaterna 4,911
Cm 37,Picentia 2,926
Cm 38,Herculaneum 2,608
Cm 39,Herculaneum 2,608
Cm 43,Herculaneum 2,608
Cm 44,Herculaneum 2,608
Cm 40,Capua 51,473
Cm 41,Cumae 6,500
Cm 42,Herculaneum 3,611
Cm 45,Salernum 6,924
Cm 46,Campania 3,377
tCm 1,Stabiae 3,844
tCm 2,Cumae 20,524
tCm 3,Stabiae 4,845
tCm 4,= tPo 20,810
tCm 5,Abella 5,897
